municipio,cod_municipio,cod_reg_imediata,regiao_imediata,cod_reg_intermediaria,regiao_intermediaria
ITAPUA DO OESTE,1101104,110001,PORTO VELHO,1101,PORTO VELHO
CANDEIAS DO JAMARI,1100809,110001,PORTO VELHO,1101,PORTO VELHO
NOVA MAMORE,1100338,110001,PORTO VELHO,1101,PORTO VELHO
PORTO VELHO,1100205,110001,PORTO VELHO,1101,PORTO VELHO
GUAJARA-MIRIM,1100106,110001,PORTO VELHO,1101,PORTO VELHO
MONTE NEGRO,1101401,110002,ARIQUEMES,1101,PORTO VELHO
CUJUBIM,1100940,110002,ARIQUEMES,1101,PORTO VELHO
CAMPO NOVO DE RONDONIA,1100700,110002,ARIQUEMES,1101,PORTO VELHO
CACAULANDIA,1100601,110002,ARIQUEMES,1101,PORTO VELHO
BURITIS,1100452,110002,ARIQUEMES,1101,PORTO VELHO
ALTO PARAISO,1100403,110002,ARIQUEMES,1101,PORTO VELHO
RIO CRESPO,1100262,110002,ARIQUEMES,1101,PORTO VELHO
ARIQUEMES,1100023,110002,ARIQUEMES,1101,PORTO VELHO
VALE DO ANARI,1101757,110003,JARU,1101,PORTO VELHO
THEOBROMA,1101609,110003,JARU,1101,PORTO VELHO
GOVERNADOR JORGE TEIXEIRA,1101005,110003,JARU,1101,PORTO VELHO
MACHADINHO D'OESTE,1100130,110003,JARU,1101,PORTO VELHO
JARU,1100114,110003,JARU,1101,PORTO VELHO
VALE DO PARAISO,1101807,110004,JI-PARANA,1102,JI-PARANA
URUPA,1101708,110004,JI-PARANA,1102,JI-PARANA
TEIXEIROPOLIS,1101559,110004,JI-PARANA,1102,JI-PARANA
SERINGUEIRAS,1101500,110004,JI-PARANA,1102,JI-PARANA
SAO FRANCISCO DO GUAPORE,1101492,110004,JI-PARANA,1102,JI-PARANA
NOVA UNIAO,1101435,110004,JI-PARANA,1102,JI-PARANA
MIRANTE DA SERRA,1101302,110004,JI-PARANA,1102,JI-PARANA
ALVORADA D'OESTE,1100346,110004,JI-PARANA,1102,JI-PARANA
SAO MIGUEL DO GUAPORE,1100320,110004,JI-PARANA,1102,JI-PARANA
PRESIDENTE MEDICI,1100254,110004,JI-PARANA,1102,JI-PARANA
OURO PRETO DO OESTE,1100155,110004,JI-PARANA,1102,JI-PARANA
JI-PARANA,1100122,110004,JI-PARANA,1102,JI-PARANA
COSTA MARQUES,1100080,110004,JI-PARANA,1102,JI-PARANA
SAO FELIPE D'OESTE,1101484,110005,CACOAL,1102,JI-PARANA
PRIMAVERA DE RONDONIA,1101476,110005,CACOAL,1102,JI-PARANA
PARECIS,1101450,110005,CACOAL,1102,JI-PARANA
MINISTRO ANDREAZZA,1101203,110005,CACOAL,1102,JI-PARANA
CASTANHEIRAS,1100908,110005,CACOAL,1102,JI-PARANA
NOVO HORIZONTE DO OESTE,1100502,110005,CACOAL,1102,JI-PARANA
